#{"t_start": 1790202046.5118334, "env_id": "None"}
r,l,t
-101.6752,35,13.905834
-92.72296,18,13.920976
-88.32988,30,13.951084
-106.99391,5,13.993384
-97.145096,7,14.008533
-103.719444,5,14.023133
-94.480545,16,14.068713
-104.85359,23,14.083116
-97.87149,8,14.112632
-95.946465,27,14.170957
-113.27766,27,14.171042
-84.593864,24,14.186589
-92.93349,13,14.201926
-102.80845,4,14.232287
-107.31775,6,14.263084
-109.82518,13,14.310429
-100.264694,18,14.340299
-111.87658,32,14.355411
-107.12994,33,14.369965
-110.71885,10,14.517567
-79.31476,24,14.546181
-82.88364,34,14.590262
-116.60912,40,14.620366
-93.92249,26,14.620434
-109.824425,9,14.679207
-103.4546,24,14.693246
-103.34126,7,14.783556
-98.47703,33,14.843962
-101.77439,15,14.844048
-92.83325,43,14.844064
-101.25912,37,14.860177
-118.87944,12,14.962737
-87.23266,27,14.992399
-102.50297,36,15.054848
-88.55308,55,15.085443
-71.04358,33,15.115369
-83.463615,21,15.161078
-106.76569,21,15.161153
-105.142685,4,15.175831
-97.093765,17,15.247611
-103.717865,20,15.263556
-100.149666,15,15.306678
-104.58696,11,15.321493
-99.44132,43,15.336138
-78.38438,33,15.336185
-101.27659,15,15.38186
-100.036316,23,15.396813
-103.25649,11,15.424803
-104.458244,18,15.439302
-107.726456,8,15.439349
-92.17186,41,15.470225
-107.097466,6,15.529408
-109.45804,10,15.543919
-104.34919,17,15.559569
-103.10257,16,15.574184
-105.84274,7,15.574258
-94.41271,24,15.603971
-106.588036,5,15.632056
-107.86954,5,15.646384
-117.66028,21,15.646426
-92.24538,17,15.676416
-117.78312,22,15.706173
-106.46556,11,16.033723
-109.662476,9,16.081104
-92.747986,14,16.112128
-104.967995,8,16.205743
-83.931984,32,16.221607
-98.3399,12,16.221662
-107.84023,31,16.299081
-102.74619,19,16.299178
-111.41135,16,16.364409
-107.86417,36,16.396291
-90.29931,13,16.412753
-97.75596,32,16.444467
-101.79176,33,16.44453
-114.2295,31,16.46016
-101.87077,12,16.49203
-110.17768,19,16.523289
-85.85333,20,16.538658
-103.08193,7,16.554113
-104.659195,9,16.554172
-102.34085,6,16.585123
-99.77184,18,16.585182
-100.94701,8,16.665161
-105.99162,8,16.68145
-107.2686,21,16.696956
-95.56263,19,16.697005
-118.4261,15,16.697021
-115.21564,11,16.758044
-102.785576,8,16.806049
-106.68706,9,16.83709
-101.15856,21,16.853727
-111.02195,11,16.869744
-131.5362,20,16.869793
-99.83648,27,16.869809
-106.14969,23,17.026605
-106.19583,31,17.074513
-88.18985,14,17.074586
-103.241684,8,17.152289
-121.699814,18,17.15239
-89.42588,29,17.216541
-104.30381,6,17.248269
-90.065994,30,17.27898
-105.79076,8,17.279047
-106.42502,13,17.279063
-110.10088,16,17.327453
-107.352104,4,17.342536
-106.14136,33,17.358301
-103.97436,5,17.358351
-66.97693,42,17.358367
-104.268776,7,17.389158
-89.445015,36,17.434345
-93.78299,13,17.450045
-104.68733,10,17.51334
-97.88841,11,17.529611
-62.791748,43,17.547235
-103.63431,21,17.547285
-116.72677,15,17.672297
-104.43025,11,17.703935
-106.25136,25,17.719361
-81.935524,29,17.799053
-113.92178,20,17.831001
-107.87297,7,17.831064
-95.89519,12,17.862669
-73.81994,34,17.929484
-73.23216,37,17.946491
-103.55013,9,17.946543
-99.693596,7,17.946559
-118.29766,28,17.996033
-83.139175,39,18.078576
-104.03892,11,18.111356
-109.712074,15,18.190781
-103.55573,40,18.190877
-95.654015,31,18.207351
-103.21037,19,18.256474
-94.25124,19,18.256552
-142.72192,25,18.273011
-90.61518,22,18.353956
-99.57264,11,18.370069
-99.861046,9,18.40347
-88.05188,18,18.403536
-105.08637,17,18.467448
-75.74723,42,18.514755
-104.63526,9,18.546108
-115.15862,36,18.6558
-80.929306,25,18.671376
-95.71942,11,18.719035
-104.01627,13,18.719112
-82.70738,33,18.783346
-103.1579,6,18.814814
-100.645485,10,18.814883
-81.773476,32,18.879417
-106.953865,42,18.8795
-88.77964,35,18.91148
-123.321625,32,18.911989
-106.07914,6,18.912035
-107.5072,8,18.912051
-90.00957,17,18.943945
-87.777176,34,19.008822
-95.65257,11,19.087619
-99.21287,17,19.087724
-93.11929,13,19.120325
-82.26368,27,19.151843
-94.70833,17,19.184871
-92.32986,16,19.200027
-99.86546,21,19.216371
-102.1485,19,19.309393
-113.97844,10,19.341676
-107.52911,9,19.341739
-96.875374,23,19.452135
-107.970055,11,19.485461
-102.242355,19,19.516714
-108.52737,4,19.548666
-109.24637,42,19.548729
-102.713615,6,19.548745
-96.18205,15,19.579431
-95.721825,29,19.579499
-110.73445,45,19.628885
-94.781425,19,19.645372
-104.851295,5,19.662584
-107.2944,14,19.774888
-116.988365,15,19.790371
-119.86093,45,19.806832
-107.92499,12,19.823992
-102.442726,11,19.82405
-114.94188,11,19.84014
-120.1496,20,19.840182
-84.71065,47,19.903501
-111.11601,6,19.920606
-93.66113,22,19.937252
-110.70521,10,20.00112
-107.274185,28,20.001213
-108.107796,5,20.017066
-124.50691,15,20.017111
-104.632774,8,20.049179
-112.80777,15,20.049246
-106.38619,5,20.096737
-104.61934,10,20.161229
-101.97072,25,20.224283
-95.028824,14,20.224365
-124.36477,22,20.255805
-98.46999,16,20.30434
-97.56957,14,20.320679
-96.7303,32,20.352797
-109.1318,22,20.369118
-93.89334,40,20.433363
-98.97546,15,20.465133
-107.69419,11,20.497001
-105.02969,9,20.512398
-106.074844,11,20.527498
-104.516365,7,20.543857
-90.805534,17,20.576441
-131.3134,34,20.592502
-101.56153,8,20.641039
-95.7174,10,20.705701
-94.395,17,20.739013
-87.19853,34,20.771196
-89.036575,40,20.802853
-112.72132,10,20.802919
-100.14767,17,20.865589
-104.83969,18,20.865676
-95.86511,40,20.897611
-87.50304,24,20.913904
-93.25921,29,20.962227
-108.28038,10,20.962305
-102.87516,9,21.012135
-105.06429,7,21.0794
-96.00862,18,21.093809
-93.20485,25,21.165921
-105.58384,18,21.179833
-105.94657,9,21.209834
-103.31872,3,21.224183
-75.551094,34,21.237991
-102.454796,6,21.253596
-97.9827,11,21.253652
-128.4566,36,21.297721
-102.10712,8,21.326632
-92.394684,27,21.326695
-92.70621,12,21.399097
-116.82185,30,21.414352
-104.03654,6,21.414407
-89.488174,14,21.458922
-109.76151,6,21.487654
-113.62956,16,21.487711
-102.03189,11,21.487727
-84.90103,24,21.590309
-113.14952,23,21.63329
-103.88979,19,21.691702
-103.37082,15,21.707191
-119.031906,57,21.721829
-98.90268,7,21.736887
-82.76778,50,21.752454
-103.365814,9,21.853346
-95.39404,34,21.909865
-84.539474,32,21.954228
-76.49413,39,22.026054
-109.65015,10,22.054664
-93.66253,14,22.054726
-99.20189,28,22.097509
-123.17041,44,22.126488
-100.81014,6,22.141235
-105.47145,13,22.141281
-121.32708,32,22.200754
-80.51189,32,22.214792
-104.28118,13,22.24434
-106.557465,7,22.244402
-128.75552,39,22.274715
-84.177635,50,22.318101
-90.93495,16,22.333188
-90.388275,15,22.362195
-117.72197,11,22.40463
-115.187355,14,22.44888
-112.484085,30,22.463526
-101.23855,23,22.463574
-115.09232,17,22.463589
-109.0139,7,22.463602
-97.85593,20,22.491002
-101.74544,6,22.534747
-103.39055,6,22.54987
-106.373665,10,22.611622
-106.80437,9,22.625859
-124.33481,16,22.640858
-101.89809,13,22.655165
-95.74716,24,22.685254
-115.41991,10,22.68531
-100.92594,10,22.699279
-114.856186,16,22.69932
-81.16815,29,22.699335
-138.15424,31,22.769826
-110.273735,9,22.813231
-107.57513,8,22.813303
-111.12811,10,22.841681
-105.58681,4,22.871984
-111.30252,17,22.943967
-99.60778,22,22.974731
-113.31375,14,22.974797
-98.435814,22,23.005548
-107.10682,4,23.034251
-87.773384,29,23.048933
-98.44058,8,23.09301
-104.53742,15,23.09309
-98.44618,11,23.107777
-104.98389,4,23.107819
-100.601395,9,23.139032
-100.61208,22,23.16757
-96.662704,38,23.167629
-96.49578,37,23.183076
-102.47073,10,23.257666
-107.203094,7,23.274303
-127.45664,18,23.302479
-100.20027,13,23.332317
-108.46147,7,23.360986
-120.579,41,23.420508
-105.01987,4,23.420582
-88.375916,24,23.463705
-107.58446,20,23.478101
-88.73471,26,23.478148
-72.8555,28,23.505758
-89.557304,23,23.505816
-112.315056,17,23.51952
-102.65567,10,23.564001
